num_nodes,mean_time,std_time
2.500000000000000000e+01,9.070163807999961358e-01,5.134143055621560869e-02
1.000000000000000000e+02,9.461084827999002300e-01,1.290390503527757624e-02
4.000000000000000000e+02,1.371537058199919557e+00,6.479183746834449309e-02
1.600000000000000000e+03,2.885511615999985402e+00,5.765881151312495650e-02
1.000000000000000000e+04,1.652838044159998532e+01,2.763077557437788379e+00
