Node_ID,Node_Type,Link_Type,E_Consumed_J,E_Harvested_J,Net_Energy_J,Life_Days,Can_Listen_AP,AP_Can_Listen
0,PV,RF,3.046314479602728,28.540927157132145,25.494612677529418,inf,True,True
1,PV,RF,3.053300370154923,31.088475785430955,28.035175415276033,inf,True,True
2,PV,RF,3.060734985018076,33.91240956459517,30.851674579577097,inf,True,True
3,PV,RF,3.0664235676712566,36.15353755230392,33.087113984632666,inf,True,True
4,PV,RF,3.0717379485120677,38.3117287083672,35.23999075985513,inf,True,True
5,PV,RF,3.077887320203157,40.88862081525537,37.81073349505222,inf,True,True
6,PV,RF,3.082399182950901,42.834916452839444,39.75251726988854,inf,True,True
7,PV,RF,3.0858109944643637,44.33860647106422,41.25279547659986,inf,True,True
8,PV,RF,3.0903661347073865,46.389914010491715,43.29954787578433,inf,True,True
9,PV,RF,3.093852251486113,47.99422145085449,44.90036919936838,inf,True,True
10,PV,RF,3.0956062495163676,48.81287968601822,45.717273436501856,inf,True,True
11,PV,RF,3.0984972843749223,50.17923223099591,47.080734946620986,inf,True,True
12,PV,RF,3.101121276045312,51.43792646805383,48.33680519200852,inf,True,True
13,PV,RF,3.101628381127057,51.68323546893445,48.58160708780739,inf,True,True
14,PV,RF,3.1029353602766774,52.31857559513585,49.21564023485917,inf,True,True
15,PV,RF,3.1047994580510307,53.23251176302033,50.12771230496929,inf,True,True
16,PV,RF,3.1045071762988234,53.088603546598385,49.98409637029956,inf,True,True
17,PV,RF,3.104427353020425,53.04934102961574,49.94491367659531,inf,True,True
18,PV,RF,3.10557180979508,53.61388018479518,50.5083083750001,inf,True,True
19,PV,RF,3.104877034246827,53.27074534418583,50.16586830993901,inf,True,True
20,PV,RF,3.1036928611245065,52.68885920229456,49.58516634117005,inf,True,True
21,PV,RF,3.104123105268852,52.89984600167005,49.795722896401195,inf,True,True
22,PV,RF,3.103319442052766,52.5061346837161,49.40281524166333,inf,True,True
23,PV,RF,3.1013636566983935,51.55509306523903,48.45372940854063,inf,True,True
24,PV,RF,3.1010840674730282,51.419953412702334,48.3188693452293,inf,True,True
25,PV,RF,3.1003415220480743,51.06202971919879,47.961688197150714,inf,True,True
26,PV,RF,3.0979606188353914,49.92398429630216,46.826023677466765,inf,True,True
27,PV,RF,3.097002521058551,49.47012553769961,46.37312301664106,inf,True,True
28,PV,RF,3.0963747626328004,49.17401862583237,46.07764386319957,inf,True,True
29,PV,RF,3.093893061492483,48.01318126998774,44.91928820849526,inf,True,True
30,PV,RF,3.0923312669275482,47.29055666649411,44.19822539956657,inf,True,True
31,PV,RF,3.09178262311661,47.038145863482605,43.946363240366,inf,True,True
32,PV,RF,3.0894701598600767,45.98243624748842,42.892966087628345,inf,True,True
33,PV,RF,3.087427186653737,45.06065448351725,41.97322729686351,inf,True,True
34,PV,RF,3.0868696360449013,44.810851116465116,41.723981480420214,inf,True,True
35,PV,RF,3.084917879126087,43.942297078754834,40.857379199628745,inf,True,True
36,PV,RF,3.082557508436997,42.90408257163803,39.82152506320103,inf,True,True
37,PV,RF,3.0818881851710684,42.6120861730202,39.530197987849135,inf,True,True
38,PV,RF,3.0803973113272054,41.96547899880057,38.88508168747337,inf,True,True
39,PV,RF,3.0779099457787398,40.8982623831135,37.820352437334755,inf,True,True
