Node_ID,Node_Type,Link_Type,E_Consumed_J,E_Harvested_J,Net_Energy_J,Life_Days,Can_Listen_AP,AP_Can_Listen,PDR_AP,PDR_MAC,True_Col_Rate,Phy_Err_Up,Phy_Err_Dw,Blockage_Drop,Avg_Retries
0,PD,IR,22.94361627016907,0.0,-22.94361627016907,282.43150180406366,True,True,0.9038095238095237,0.9038095238095237,0.008350447694298064,0.0,0.0,0.09619047619047617,0.006666666666666666
1,PD,IR,23.353420376666644,0.0,-23.353420376666644,277.47541454246385,True,True,0.925986394557823,0.925986394557823,0.007997789337014035,0.0,0.0,0.07401360544217689,0.005850340136054422
2,PD,IR,22.696364110645025,0.0,-22.696364110645025,285.5082853099258,True,True,0.8868027210884354,0.8868027210884354,0.019197154425549007,0.0,0.0,0.11306122448979591,0.012517006802721088
3,PD,IR,23.516899357558337,0.0,-23.516899357558337,275.54652939046264,True,True,0.933877551020408,0.933877551020408,0.007490925224959384,0.0,0.0,0.06598639455782312,0.0069387755102040816
4,PD,IR,23.308018976330445,0.0,-23.308018976330445,278.0159054521327,True,True,0.9212244897959184,0.9212244897959184,0.009896960146790371,0.0,0.0,0.07863945578231292,0.007891156462585034
5,PD,IR,23.05203387055935,0.0,-23.05203387055935,281.1031788512102,True,True,0.9107482993197279,0.9107482993197279,0.008956823464161262,0.0,0.0,0.08925170068027212,0.0055782312925170075
6,PD,IR,23.05218349481143,0.0,-23.05218349481143,281.101354301579,True,True,0.9110204081632655,0.9110204081632655,0.00996524758495443,0.0,0.0,0.08884353741496599,0.006530612244897959
7,PD,IR,22.836863120479347,0.0,-22.836863120479347,283.7517554759502,True,True,0.8980952380952382,0.8980952380952382,0.01072166066339962,0.0,0.0,0.1017687074829932,0.006530612244897959
8,PD,IR,23.592402188286165,0.0,-23.592402188286165,274.66469706155556,True,True,0.937687074829932,0.937687074829932,0.007079581856739185,0.0,0.0,0.06231292517006802,0.005986394557823129
9,PD,IR,23.453649916827427,0.0,-23.453649916827427,276.28961901365966,True,True,0.9304761904761903,0.9304761904761903,0.01108839084592216,0.0,0.0,0.06938775510204082,0.007482993197278912
10,PD,IR,23.46816791818579,0.0,-23.46816791818579,276.1186992776953,True,True,0.933469387755102,0.933469387755102,0.0045743193719591365,0.0,0.0,0.06639455782312924,0.0038095238095238095
11,PD,IR,23.446472914668924,0.0,-23.446472914668924,276.3741916996773,True,True,0.9315646258503402,0.9315646258503402,0.007581796122245712,0.0,0.0,0.06829931972789115,0.0055782312925170075
12,PD,IR,23.196431904436498,0.0,-23.196431904436498,279.3533085905617,True,True,0.9157823129251701,0.9157823129251701,0.01361595630901123,0.0,0.0,0.08408163265306122,0.008843537414965985
13,PD,IR,23.47596191898984,0.0,-23.47596191898984,276.02702808775183,True,True,0.9351020408163265,0.9351020408163265,0.008534902424354757,0.0,0.0,0.06489795918367346,0.004489795918367348
14,PD,IR,23.287370237269414,0.0,-23.287370237269414,278.26242010054546,True,True,0.9244897959183674,0.9244897959183674,0.00678343861933634,0.0,0.0,0.07551020408163266,0.004625850340136055
15,PD,IR,23.4123906709052,0.0,-23.4123906709052,276.77651936898343,True,True,0.9311564625850342,0.9311564625850342,0.0053242694592914456,0.0,0.0,0.06870748299319727,0.0038095238095238095
16,PD,IR,22.98720603235239,0.0,-22.98720603235239,281.8959377177023,True,True,0.9117006802721088,0.9117006802721088,0.006034570935886725,0.0,0.0,0.08816326530612245,0.002993197278911565
