case,N,blockage_mode,blocked_fraction,E_cycle_J_mean,E_cycle_J_std,E_day_J_mean,E_day_J_total,E_day_J_std,E_day_J_min,E_day_J_max,Life_days_mean,d_tx_s_mean,d_rx_s_mean,d_cca_s_mean,d_wait_s_mean,d_total_s_mean,PDR_AP,PDR_MAC,True_MAC_Collision_Rate,PHY_UL_Failure_Rate,PHY_DL_Failure_Rate,Payload_Throughput_kbps,Union_Active_Payload_Throughput_Normalized,Union_Active_Time_s,CCA_Attempts_Per_Generated_Packet,Backoff_Slots_Per_Generated_Packet,MAC_Blocked_Packets_Per_Generated_Packet,Retransmissions_Per_Generated_Packet,Generated_Packets_Per_Day,Delivered_Packets_Per_Day,Energy_Per_Generated_Packet_J,Energy_Per_Delivered_Packet_J
"CSMA/CA, $10\%$ DL-only blocked",150,downlink,0.1,0.022090286037803056,0.01369478390900642,31.8100118944364,4771.50178416546,19.72048882896924,23.415974308263966,90.9550348463608,238.318995615524,0.14477312072562357,0.01666384689342404,0.0019942951473922903,0.04054640761904762,0.30904017038548753,0.8406820861678006,0.7617396825396825,0.14719770630128673,0.0,0.05445560642658447,1.9110525155555558,0.5099579929040376,1124.3693059832945,2.4928689342403625,18.710936054421765,0.1292498866213152,0.43118276643990927,216000.0,164535.77142857143,0.022090286037803056,0.028999783711087246
No MAC overhead,200,none,0.0,0.015918745458000004,3.469446951953614e-18,22.922993459520004,4584.598691904001,3.552713678800501e-15,22.92299345952,22.92299345952,282.68559302445004,0.10240000000000002,0.012800000000000002,0.0,0.0010000000000000002,0.22126249999999995,,,,,,,,,,,,,288000.0,288000.0,0.015918745458,0.015918745458
CSMA/CA,200,none,0.0,0.0161634418557207,0.00017870395006865098,23.275356272237808,4655.071254447562,0.2573336880988574,22.387222967413805,23.822348968385047,278.4402604023923,0.10184505414965984,0.011722727619047617,0.0016353017687074827,0.0356811387755102,0.25594672231292515,0.9002802721088433,0.9002802721088433,0.023370385253188006,0.0,0.0,3.011497528888889,0.7663235540313627,1178.9389498534638,2.044127210884354,16.741542857142857,0.0996312925170068,0.015512925170068031,288000.0,259280.71836734688,0.0161634418557207,0.01795378878830586
"CSMA/CA, $10\%$ UL+DL blocked",200,both,0.1,0.020248740209931376,0.014304859534624527,29.158185902301184,5831.637180460237,20.59899772985932,21.304343379660533,90.9550348463608,268.8032399624646,0.13129293224489796,0.015112245986394556,0.0019508201360544217,0.04108995102040816,0.29450844938775506,0.7681557823129251,0.7681557823129251,0.020116365775887716,0.09999486112165129,0.0,2.569532302222222,0.5552084394747733,1388.7392409134454,2.4385251700680275,19.128173469387754,0.1317721088435374,0.3124748299319728,288000.0,221228.86530612243,0.02024874020993138,0.026360200204393707
"CSMA/CA, $10\%$ DL-only blocked",200,downlink,0.1,0.021791934977560892,0.013795053463183616,31.380386367687688,6276.077273537538,19.864876986984406,23.23781438235193,90.9550348463608,242.807314813498,0.14200656054421767,0.016345443265306122,0.002272850612244898,0.0490641262585034,0.3147514806802721,0.7796319727891156,0.7072278911564627,0.1903017064195037,0.0,0.045651116499440994,2.365724444444444,0.4991058923176515,1422.0790463888272,2.841063265306122,22.999647619047618,0.18234761904761904,0.45940068027210884,288000.0,203681.63265306124,0.021791934977560896,0.030813172458352304
No MAC overhead,300,none,0.0,0.015918745458000004,3.469446951953614e-18,22.922993459520004,6876.898037856001,3.552713678800501e-15,22.92299345952,22.92299345952,282.68559302445004,0.10240000000000002,0.012800000000000002,0.0,0.0010000000000000002,0.2212625,,,,,,,,,,,,,432000.0,432000.0,0.015918745458,0.015918745458
CSMA/CA,300,none,0.0,0.015355027688028015,0.0002276584405300935,22.11123987076034,6633.371961228102,0.32782815436333457,21.213415521140767,22.946417345736883,293.12820482136794,0.09512991056689342,0.01094977596371882,0.002007078820861678,0.047458947301587305,0.2606082126530612,0.8297179138321996,0.8297179138321996,0.041609649522848464,0.0,0.0,4.163192604444444,0.7671944940393189,1627.941683352602,2.5088485260770974,22.70291201814059,0.17016780045351473,0.025666666666666664,432000.0,358438.13877551025,0.015355027688028013,0.01850632297078906
"CSMA/CA, $10\%$ UL+DL blocked",300,both,0.1,0.019253689212265227,0.014637292454913974,27.72531246566193,8317.59373969858,21.07770113507612,19.40345164601809,90.9550348463608,288.98017282567724,0.12322462839002266,0.014183584217687072,0.002315237006802721,0.05272908099773243,0.2975150306122449,0.6878548752834468,0.6878548752834468,0.0355258337319481,0.0999954256320885,0.0,3.451380622222223,0.5596451007880591,1850.3136531375283,2.8940462585034017,25.034803628117917,0.21205442176870748,0.3202104308390023,432000.0,297153.306122449,0.01925368921226523,0.02799091771259351
"CSMA/CA, $10\%$ DL-only blocked",300,downlink,0.1,0.020856756978718777,0.014108146640329555,30.033730049355043,9010.119014806512,20.31573116207456,21.5484487853184,90.9550348463608,258.03575301120543,0.13417215492063492,0.015443702131519276,0.0027403678911564625,0.06364033759637187,0.3210590625396825,0.6597773242630386,0.6002045351473922,0.26918768336489746,0.0,0.0313209900000141,3.0115862755555556,0.47722877167516736,1893.236533064961,3.425459863945578,30.3722947845805,0.28793650793650793,0.4945455782312924,432000.0,259288.35918367346,0.02085675697871878,0.034749415836381484
No MAC overhead,350,none,0.0,0.015918745458000007,6.938893903907228e-18,22.922993459520004,8023.047710832001,3.552713678800501e-15,22.92299345952,22.92299345952,282.68559302445004,0.1024,0.0128,0.0,0.0010000000000000002,0.2212625,,,,,,,,,,,,,504000.0,504000.0,0.015918745458,0.015918745458
