Node_ID,Node_Type,Link_Type,E_Consumed_J,E_Harvested_J,Net_Energy_J,Life_Days,Can_Listen_AP,AP_Can_Listen
0,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
1,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
2,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
3,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
4,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
5,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
6,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
7,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
8,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
9,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
10,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
11,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
12,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
13,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
14,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
15,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
16,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
17,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
18,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
19,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
20,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
21,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
22,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
23,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
24,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
25,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
26,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
27,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
28,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
29,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
30,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
31,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
32,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
33,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
34,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
35,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
36,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
37,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
38,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
39,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
40,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
41,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
42,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
43,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
44,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
45,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
46,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
47,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
48,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
49,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
50,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
51,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
52,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
53,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
54,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
55,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
56,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
57,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
58,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
59,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
60,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
61,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
62,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
63,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
64,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
65,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
66,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
67,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
68,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
69,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
70,PD,IR,22.92299345952,0.0,-22.92299345952,282.68559302445,True,True
